Id,Name,Type,Industry,BillingCountry,Website,Phone,NumberOfEmployees,AnnualRevenue,Ownership,AccountSource,Account_Type__c,Investment_Focus__c,AUM_Range__c,Preqin_External_Id
001W4gq3DcL2ICxl5S,Davis Capital,Partner,Asset Management,Singapore,https://www.davis.co.uk,+1-710-800-1454x4782,3528.0,984071691.7228936,Public,Web,Fund Manager,Credit/Debt,$500M-$1B,
001hl1pPuWcmlBs5WS,Mckenzie Capital,Customer,Investment Banking,United States,,780.308.9716,,208083114.2063584,Other,Purchased List,Service Provider,Credit/Debt,$5B-$10B,
001itwVHDlKpxgXxjb,Stewart Williams Capital,Prospect,Infrastructure,Canada,https://www.stewartwilliams.co.uk,562.232.7798,3559.0,,Other,Partner Referral,Fund Manager,Growth Capital,$5B-$10B,
001kGq6KOdoBYS1HZ2,Cole Robinson Capital,Partner,Insurance,Sweden,https://www.colerobinson.de,+1-259-776-5736x8627,4678.0,93225818.72571549,Private,Web,Investor,Growth Capital,$100M-$500M,
001QgWqgkjS0ZUclgA,Moore Capital,Partner,Venture Capital,Sweden,https://www.moore.net,,,,Private,Partner Referral,Fund Manager,Buyout,$10B-$25B,
0019hwlIQLUQjqOZtI,LLC Investment Management,Prospect,Insurance,United Kingdom,https://www.llcinvestment.de,3844052538,692.0,,Other,Phone Inquiry,Investor,Credit/Debt,Under $100M,
001g6499EbOEYlipcR,Group Investment Management,Prospect,Investment Banking,Switzerland,https://www.groupinvestment.de,,1720.0,,Subsidiary,Web,Service Provider,Hedge Fund,$10B-$25B,
001uMTRGevbR1jXODd,Moore Chase Capital,Customer,Credit,Canada,,(692)995-4969x03147,1208.0,,Other,Web,Fund Manager,Buyout,$5B-$10B,
001H02FhZdY0BUL23C,Patterson & Associates,Customer,Asset Management,France,https://www.pattersonassociates.fr,,2549.0,953819118.64491,Public,Partner Referral,Investor,Buyout,$5B-$10B,
001VhLVX5ZxeBeF3hg,Thompson & Associates,Competitor,Credit,Japan,https://www.thompsonassociates.co.uk,001-932-502-3142x1053,636.0,367375654.96638215,Other,Purchased List,Investor,Fund of Funds,$5B-$10B,
001ADkE6eGECEBJ6Du,Mack Capital,Partner,Real Estate,Singapore,https://www.mack.co.uk,(660)635-9889x4613,95.0,,Private,Web,Fund Manager,Venture Capital,$5B-$10B,
001iESSb9jGM4FjW2q,Preston Capital,Competitor,Venture Capital,Denmark,https://www.preston.fr,,416.0,,Private,Purchased List,Investor,Buyout,$1B-$5B,
001aMhPEwiIKmiICwx,Garcia Chen Capital,Competitor,Investment Banking,Singapore,https://www.garciachen.com,400-994-7711,4061.0,111178050.17269924,Subsidiary,Web,Investor,Venture Capital,$500M-$1B,
001c9RAzkaujg13bHl,New Douglas Investment Group,Prospect,Venture Capital,Sweden,https://www.newdouglasinvestment.co.uk,(933)894-0288x953,695.0,608493935.0340807,Private,Purchased List,Investor,Co-Investment,$1B-$5B,
001jrKN7CRCnK32EWa,Gregoryborough Investment Group,Competitor,Hedge Fund,Canada,,,609.0,185469140.41342708,Other,Web,Investor,Secondary,$100M-$500M,
001Sol8fCawoeYDlrN,Smith Edwards Capital,Customer,Asset Management,Switzerland,https://www.smithedwards.com,,2653.0,151465119.10259873,Public,Partner Referral,Service Provider,Hedge Fund,Over $50B,
001Lp3b7idmczkzyqa,Wilson Ball Capital,Competitor,Asset Management,Netherlands,https://www.wilsonball.fr,001-896-308-1217x552,1209.0,,Private,Partner Referral,Investor,Fund of Funds,Under $100M,
001Xv8LOM4ajAa5RQH,Sullivan Partners,Competitor,Infrastructure,France,https://www.sullivan.co.uk,223.980.0246,4825.0,,Subsidiary,Web,Investor,Buyout,Under $100M,
001LiDsiUSeqpRPdSM,Cooley & Associates,Partner,Real Estate,United Kingdom,https://www.cooleyassociates.net,617-257-2595x4599,2316.0,691562421.9265196,Subsidiary,Partner Referral,Service Provider,Growth Capital,$100M-$500M,
001Dw0x3UVxfv2bZ8R,Inc Investment Management,Partner,Insurance,Sweden,,523-603-1770x4624,,774270395.8433267,Subsidiary,Purchased List,Investor,Venture Capital,Under $100M,
001N40zSVqBQtpJPIn,Weiss Partners,Prospect,Private Equity,Sweden,https://www.weiss.net,6746066088,4500.0,298738152.5549547,Other,Partner Referral,Investor,Credit/Debt,$5B-$10B,
001wrAiLWTsUR9EZk8,White Partners,Prospect,Private Equity,Japan,https://www.white.net,,838.0,,Public,Web,Service Provider,Venture Capital,$500M-$1B,
001oaph0Q5VuKTgigK,PLC Investment Management,Customer,Venture Capital,Denmark,https://www.plcinvestment.fr,+1-754-794-4958x5432,1953.0,977858941.3603314,Subsidiary,Web,Fund Manager,Growth Capital,$100M-$500M,
001YkuaD2Thsq4Adi9,Vaughn & Associates,Partner,Real Estate,France,,,4082.0,795271515.9142209,Subsidiary,Partner Referral,Service Provider,Secondary,$25B-$50B,
001NHgcUElbART42ZC,Harris Miller Capital,Competitor,Real Estate,Canada,https://www.harrismiller.de,,2934.0,,Other,Web,Service Provider,Growth Capital,$100M-$500M,
001JL9y4iZCYQvqGIS,Hicks & Associates,Prospect,Infrastructure,Norway,,(234)629-8374x0541,3716.0,127761955.90189765,Subsidiary,Purchased List,Service Provider,Credit/Debt,$100M-$500M,
001aEJmdRuMjZPKr4H,Port Ashley Investment Group,Customer,Pension Fund,Hong Kong,,761-911-2638,2581.0,,Private,Partner Referral,Fund Manager,Hedge Fund,$10B-$25B,
001eHeGinQbPrERl07,Lake Christopher Investment Group,Prospect,Credit,Germany,,712-303-5008,4178.0,8624734.674589097,Subsidiary,Phone Inquiry,Investor,Real Estate,$5B-$10B,
001h8TrXaSQVuGg8hw,Obrien Turner Capital,Prospect,Asset Management,Australia,,,2785.0,782457240.9819345,Public,Purchased List,Fund Manager,Buyout,$10B-$25B,
001qqipy3xxJ6amjBs,Oconnor Capital,Customer,Asset Management,Singapore,https://www.oconnor.net,777-381-2073x55097,4030.0,,Subsidiary,Partner Referral,Service Provider,Secondary,$25B-$50B,
001d7JGoCbv5HeQXTA,Mckinney Partners,Partner,Private Equity,Singapore,https://www.mckinney.fr,599-467-5934x1609,1486.0,,Other,Phone Inquiry,Investor,Infrastructure,Over $50B,
001c6jVxszZ5dauHzv,Stricklandhaven Investment Group,Prospect,Pension Fund,Canada,https://www.stricklandhaveninvestment.co.uk,,1199.0,946180386.5498458,Private,Purchased List,Service Provider,Venture Capital,$1B-$5B,
001UfH5OgnWQu2bQRV,Lake Mark Investment Group,Partner,Real Estate,United Kingdom,https://www.lakemarkinvestment.de,3153876430,,,Subsidiary,Purchased List,Service Provider,Infrastructure,$5B-$10B,
001KFt7hSjGNlZxkVR,Brown Cardenas Capital,Prospect,Venture Capital,United States,https://www.browncardenas.de,364.470.4024,,140366414.01648062,Private,Purchased List,Fund Manager,Infrastructure,$500M-$1B,
001MW5DbaSjoVpBkOH,Smith & Associates,Competitor,Investment Banking,United States,https://www.smithassociates.net,001-238-616-2839x9546,,,Private,Partner Referral,Service Provider,Real Estate,$10B-$25B,
001TBUp1uq2JAdE3Vl,West Wesleyland Investment Group,Customer,Pension Fund,France,https://www.westwesleylandinvestment.net,(739)384-0287x7659,1359.0,829562315.9081475,Subsidiary,Phone Inquiry,Fund Manager,Fund of Funds,Over $50B,
001Vw0LB25HqNeb0Wh,Richardson Partners,Competitor,Venture Capital,South Korea,,730.831.9438x30372,,,Private,Partner Referral,Service Provider,Venture Capital,$100M-$500M,
0010RVVwFGmBxrABgf,Inc Investment Management,Partner,Infrastructure,Australia,https://www.incinvestment.net,4695303240,3406.0,459311827.3294144,Private,Purchased List,Service Provider,Secondary,Over $50B,
001MjcrOKgWN9WRfkk,Inc Investment Management,Competitor,Credit,Denmark,,547.580.9788x8400,2516.0,602298230.227644,Subsidiary,Phone Inquiry,Investor,Credit/Debt,$500M-$1B,
001XFWwZzZz0XV6QqM,Bennett Capital,Customer,Hedge Fund,Hong Kong,https://www.bennett.de,860.845.9433,3948.0,,Public,Purchased List,Investor,Real Estate,$25B-$50B,
00187P1gmKjs1u3ieD,Ltd Investment Management,Customer,Real Estate,France,https://www.ltdinvestment.fr,407-622-7298x277,3916.0,926201994.6416212,Public,Web,Investor,Hedge Fund,$1B-$5B,
001azbgHk8JHMr5fll,PLC Investment Management,Partner,Asset Management,United Kingdom,https://www.plcinvestment.de,583-855-5179x2649,2306.0,845701848.3740913,Private,Web,Fund Manager,Infrastructure,$500M-$1B,
001Rl5Ar6QvGXxRvo8,Barber Partners,Competitor,Credit,Australia,https://www.barber.co.uk,,,830560738.8270286,Other,Partner Referral,Fund Manager,Real Estate,$10B-$25B,
001hInu0JMICW5hF03,Stephens Capital,Customer,Credit,South Korea,https://www.stephens.com,001-319-762-0447,,,Subsidiary,Partner Referral,Service Provider,Secondary,Under $100M,
001xnd0M7WR3pnULyi,Conleytown Investment Group,Partner,Real Estate,United States,https://www.conleytowninvestment.net,+1-567-510-2513x492,,639524786.647925,Private,Partner Referral,Fund Manager,Hedge Fund,Under $100M,
001xCLmnyGEa5ut6rq,South Brandytown Investment Group,Customer,Pension Fund,United Kingdom,https://www.southbrandytowninvestment.com,001-405-368-7865x1099,981.0,924613065.9946237,Public,Web,Investor,Credit/Debt,$5B-$10B,
001Ft1JMW0t5vENCLx,Morris Wolf Capital,Prospect,Investment Banking,Norway,https://www.morriswolf.co.uk,001-552-648-8825x5703,,,Subsidiary,Phone Inquiry,Fund Manager,Buyout,$500M-$1B,
001n2FoLVCUFdi28RK,Taylor & Associates,Competitor,Real Estate,Germany,https://www.taylorassociates.com,(329)317-8643x6340,3659.0,368229206.00767195,Public,Phone Inquiry,Service Provider,Growth Capital,Under $100M,
001lmd4lfC3pUErG1g,Espinoza Capital,Prospect,Insurance,Canada,https://www.espinoza.co.uk,787-597-6770x6756,20.0,534057472.02057576,Public,Web,Investor,Co-Investment,$100M-$500M,
001Fn7sF08oKM8wDaY,Lake Lisa Investment Group,Partner,Insurance,South Korea,https://www.lakelisainvestment.com,001-883-220-5087x7860,894.0,704129841.7273916,Subsidiary,Web,Fund Manager,Growth Capital,$5B-$10B,
00183BVLvmxTxuJZ3z,Franklin & Associates,Competitor,Venture Capital,Germany,,(625)664-2030x6180,4788.0,628037871.757312,Other,Phone Inquiry,Investor,Fund of Funds,$5B-$10B,
001oqVUz5JIvc86rpP,South Ryan Investment Group,Competitor,Insurance,Denmark,https://www.southryaninvestment.co.uk,(654)731-3530x18417,1751.0,423364416.1391058,Public,Partner Referral,Investor,Co-Investment,$10B-$25B,
0011DniYVGhpfJDsbn,Group Investment Management,Customer,Investment Banking,Japan,https://www.groupinvestment.net,677.477.6823x99952,,510364061.2625495,Subsidiary,Web,Investor,Credit/Debt,$5B-$10B,
001Fl7Ys1a6TZNI97V,Perry Capital,Prospect,Credit,South Korea,https://www.perry.com,3927229506,,,Private,Purchased List,Fund Manager,Growth Capital,Under $100M,
00141X3IiINPSbUVMz,Ball Fleming Capital,Competitor,Private Equity,Sweden,https://www.ballfleming.co.uk,,2807.0,,Subsidiary,Phone Inquiry,Service Provider,Real Estate,$1B-$5B,
00149ZDOqqX2Vu7jJv,LLC Investment Management,Prospect,Real Estate,Australia,https://www.llcinvestment.de,,274.0,,Subsidiary,Phone Inquiry,Fund Manager,Co-Investment,$100M-$500M,
001uBQvxXM52aPh2Cp,North Melissaport Investment Group,Competitor,Private Equity,Switzerland,,,,146857178.88757062,Other,Purchased List,Investor,Co-Investment,$5B-$10B,
001LSPGEJ8UZMbjLUK,Carlson Capital,Partner,Infrastructure,Denmark,https://www.carlson.co.uk,,,579490051.7083061,Subsidiary,Phone Inquiry,Investor,Buyout,$5B-$10B,
001a87VPNwpWMhEx4Q,Ltd Investment Management,Prospect,Venture Capital,United States,https://www.ltdinvestment.net,445-558-8694x3547,,742098226.4668748,Private,Partner Referral,Fund Manager,Co-Investment,$5B-$10B,
001WVk14dovXmYJFBp,Williams Capital,Competitor,Infrastructure,Canada,https://www.williams.co.uk,001-736-563-7234,1962.0,328829020.10551924,Private,Purchased List,Fund Manager,Fund of Funds,$500M-$1B,
0015jxd29mhJ3lWtLv,Lisamouth Investment Group,Partner,Private Equity,United Kingdom,,399-643-2856,,410515844.8244434,Private,Phone Inquiry,Fund Manager,Credit/Debt,Over $50B,
001U7L7WnPar4VKDpw,North Matthew Investment Group,Customer,Real Estate,South Korea,https://www.northmatthewinvestment.fr,9279496517,3776.0,,Private,Phone Inquiry,Service Provider,Secondary,$5B-$10B,
001xlxzKkMuefAp1Gl,Allen Capital,Customer,Investment Banking,Denmark,https://www.allen.com,001-326-251-1430,3005.0,229193007.1781097,Other,Web,Fund Manager,Growth Capital,Over $50B,
001jp069f30ihb50Pb,Reynolds Bailey Capital,Partner,Asset Management,Japan,https://www.reynoldsbailey.co.uk,214-326-6986x3367,2896.0,963552575.1803484,Private,Partner Referral,Investor,Venture Capital,$5B-$10B,
001KECFOP5vvlJOMFK,Wilson Capital,Partner,Family Office,Switzerland,https://www.wilson.co.uk,(953)949-5692,3607.0,194203771.23919165,Other,Partner Referral,Investor,Buyout,Under $100M,
001SwG2gSIQbSYLyqV,Mullins Capital,Partner,Pension Fund,Sweden,https://www.mullins.com,001-332-805-9754,395.0,409372938.5566851,Private,Web,Service Provider,Fund of Funds,$25B-$50B,
001Ur2RPpG90QltaF0,Moran Conley Capital,Competitor,Sovereign Wealth Fund,Switzerland,https://www.moranconley.co.uk,734-544-1199,3622.0,,Public,Phone Inquiry,Service Provider,Buyout,$1B-$5B,
001kLs0G9E6FQDiUB3,Torres Walters Capital,Customer,Insurance,United States,,001-255-698-6260x1294,3440.0,635998904.1622671,Other,Partner Referral,Service Provider,Credit/Debt,$500M-$1B,
00160oeiXxPjFodUlU,Brown Partners,Competitor,Infrastructure,South Korea,,,1663.0,,Subsidiary,Web,Investor,Real Estate,Over $50B,
001SyOUfa1xzwIjfr1,Port Michael Investment Group,Competitor,Hedge Fund,Canada,https://www.portmichaelinvestment.net,+1-642-908-7835,,,Other,Web,Investor,Venture Capital,$1B-$5B,
0013OXa8EPHI7u7KK6,Fitzgerald Willis Capital,Customer,Hedge Fund,Denmark,https://www.fitzgeraldwillis.de,,3846.0,,Public,Web,Investor,Real Estate,$10B-$25B,
001ACsvHxacAu8SHPz,Davis & Associates,Partner,Pension Fund,United States,https://www.davisassociates.de,001-529-928-2728,897.0,996088907.9070566,Other,Purchased List,Service Provider,Fund of Funds,$5B-$10B,
001D0IHUyXG0jzkDIm,Ltd Investment Management,Partner,Insurance,Germany,https://www.ltdinvestment.co.uk,960.569.1677x28194,,,Public,Phone Inquiry,Service Provider,Infrastructure,$100M-$500M,
001snFJrWKqRwpFMqM,Maryview Investment Group,Partner,Investment Banking,Germany,https://www.maryviewinvestment.fr,533-784-1677x11445,4043.0,,Private,Phone Inquiry,Service Provider,Buyout,Over $50B,
001qTyINIXBOovJqtK,Scotthaven Investment Group,Customer,Asset Management,Japan,https://www.scotthaveninvestment.de,406.469.3777,2049.0,,Public,Web,Fund Manager,Growth Capital,$10B-$25B,
001o8evwt1BPQpbzb1,Ltd Investment Management,Prospect,Family Office,Netherlands,https://www.ltdinvestment.com,,699.0,485709999.1014671,Public,Purchased List,Fund Manager,Credit/Debt,$100M-$500M,
